SYMBOL	GSM1480291_LVirgin	GSM1480292_LVirgin	GSM1480293_LPregnant	GSM1480294_LPregnant	GSM1480295_LLactate	GSM1480296_LLactate	GSM1480297_BVirgin	GSM1480298_BVirgin	GSM1480299_BPregnant	GSM1480300_BPregnant	GSM1480301_BLactate	GSM1480302_BLactate
Zzz3	2366	2443	1732	1543	764	783	2937	2823	3194	2662	1947	1811
Zzef1	1562	1505	1168	1238	981	1100	1568	1553	1138	1189	1657	1487
Zyx	3047	4259	3501	3983	1473	1458	5022	5775	10678	11300	10279	9957
Zyg11b	1135	1132	1151	890	572	598	1675	1521	1591	1201	1275	1186
Zyg11a	3	1	3	0	0	1	4	1	2	2	2	2
Zxdc	808	941	675	657	270	303	710	604	598	499	425	405
Zxdb	146	192	122	114	45	41	282	263	253	201	157	141
Zxda	625	685	493	448	172	205	812	729	646	460	371	427
Zwint	1059	1326	1534	1513	502	415	883	973	1359	1112	938	793
Zwilch	283	311	227	115	239	218	261	270	212	154	59	70
Zw10	659	674	619	562	510	527	757	567	563	466	465	420
Zufsp	235	233	131	142	95	116	225	135	131	113	182	215
Zswim8	2399	2693	1796	2127	1225	1476	4241	3324	3829	3606	4420	4707
Zswim7	54	73	49	43	27	37	50	62	67	64	46	60
Zswim6	1550	1690	1082	999	163	141	1735	2875	3537	2819	1649	1143
Zswim5	155	191	154	110	112	78	8	8	10	3	1	2
Zswim4	2846	3076	4350	3534	1078	689	658	691	1253	996	653	638
Zswim3	58	61	16	19	22	24	143	83	114	98	126	93
Zswim2	0	0	0	0	0	0	0	0	0	0	0	0
Zswim1	154	159	129	106	61	75	237	183	183	138	138	148
Zscan5b	0	0	0	0	0	0	0	0	0	0	0	1
Zscan4f	0	0	0	0	0	0	0	0	0	0	0	0
Zscan4e	0	0	0	0	0	0	0	0	0	0	0	0
Zscan4d	0	0	0	0	0	0	0	0	0	0	0	0
Zscan4c	0	0	0	0	0	0	0	0	0	0	0	0
Zscan4b	0	0	0	0	0	0	0	0	0	0	0	0
Zscan4a	0	0	0	0	0	0	0	0	0	0	0	0
Zscan30	40	40	28	25	22	17	49	50	35	36	45	49
Zscan29	337	284	219	211	201	189	611	466	302	246	379	485
Zscan26	1075	1132	576	555	721	787	793	596	378	306	539	743
Zscan25	498	565	425	394	211	187	326	303	279	245	188	222
Zscan22	72	117	53	41	44	64	45	26	23	23	30	33
Zscan21	329	392	279	281	187	180	320	208	317	297	443	580
Zscan20	104	100	55	35	26	28	102	66	60	47	66	80
Zscan2	139	156	35	54	18	21	55	61	17	26	28	27
Zscan18	403	462	165	227	160	142	170	82	63	54	31	23
Zscan12	96	137	47	25	20	19	52	52	48	43	27	18
Zscan10	0	1	12	23	104	111	1	7	1	2	4	2
Zrsr2	973	957	682	639	327	313	1109	938	1072	884	789	807
Zrsr1	318	407	355	360	153	115	405	477	845	584	583	637
Zranb3	229	241	172	111	175	138	261	257	216	203	137	176
Zranb2	1041	1115	1091	921	695	717	1127	927	1420	1269	1163	1183
Zranb1	1213	1290	1080	974	400	376	1424	1435	1367	1220	1102	919
Zpr1	1291	1390	1211	1048	388	395	1095	936	833	647	398	375
Zpld1	0	0	0	0	0	0	0	0	0	0	0	0
Zpbp2	2	5	2	9	14	12	0	3	2	3	0	3
Zpbp	16	11	8	3	2	6	14	9	9	17	7	8
Zp4-ps	0	0	0	0	0	0	0	0	0	0	0	0
Zp3r	0	0	0	0	0	0	0	0	0	0	0	0
Zp3	0	0	1	0	0	0	2	2	0	0	1	0
Zp2	0	0	0	0	0	0	1	0	0	0	2	2
Zp1	1	0	0	1	0	0	0	0	0	0	1	1
Znrf4	0	0	0	2	0	0	0	0	0	0	0	0
Znrf3	320	277	304	229	77	79	1098	776	790	452	398	322
Znrf2	897	957	799	869	967	1165	375	331	368	315	318	338
Znrf1	3975	4101	3404	2714	737	737	2440	2301	2573	2032	1383	1430
