Symbol	EntrezGene	N8	T8	N33	T33	N51	T51
TMPRSS11B	132724	2592	3	7805	321	3372	9
TNNC1	7134	1684	0	1787	7	4894	559
XIRP2	129446	9915	15	10396	48	23309	7181
MYH2	4620	4389	7	7944	16	9262	1818
MAL	4118	2697	3	3941	265	1750	8
CASQ1	844	519	0	857	3	833	83
MUC21	394263	4160	7	3425	516	1720	5
CRNN	49860	24146	49	22026	2353	12480	26
MYBPC1	4604	4809	10	4146	14	15623	1311
SMPX	23676	406	0	688	3	2347	318
CA3	761	1840	1	4180	35	552	72
NRAP	4892	3741	4	1990	17	12531	1829
MYH7	4625	3118	8	3767	21	4001	724
MYPN	84665	679	1	656	3	3256	321
MB	4151	4210	6	6700	61	11738	1532
ACTA1	58	3334	8	3198	32	13643	1063
SLN	6588	532	1	1022	6	1384	200
MYOZ3	91977	257	0	223	1	559	83
LMOD2	442721	449	1	1032	4	2138	272
TRIM54	57159	221	0	122	0	958	81
KRT76	51350	5919	26	1902	160	285	6
DDIT4L	115265	432	1	935	6	1005	227
ANKRD1	27063	1207	4	790	11	4508	743
KRT4	3851	76461	353	99082	20651	47411	31
TTN	7273	328503	1204	206612	3178	1675945	191624
SMYD1	150572	490	0	511	7	1419	149
CSRP3	8048	636	2	673	8	4733	424
TXLNB	167838	393	0	371	5	1848	211
PKIA	5569	318	0	414	6	1401	134
HSPB7	27129	608	2	579	2	2871	397
PDK4	5166	1992	9	356	43	8449	273
ENO3	2027	1092	4	1292	74	4841	223
CEACAM7	1087	186	0	108	12	308	0
PYGM	5837	1399	22	1267	16	2171	103
CKMT2	1160	358	1	366	7	1666	97
IL36A	27179	367	10	1824	45	802	1
KLHL41	10324	4325	24	3115	17	16007	1461
KRT13	3860	393801	2291	359693	106059	211919	1833
MYF6	4618	168	0	157	0	1004	130
DUSP27	92235	336	1	262	2	1600	202
RPTN	126638	894	1	693	18	675	81
TRDN	10345	1326	7	1785	9	4646	637
HSPB6	126393	2207	11	1496	44	3597	325
MYBPC2	4606	966	11	486	6	8045	457
UNC45B	146862	329	0	381	11	1751	145
RBM24	221662	287	1	370	5	1254	200
LDB3	11155	1616	11	1411	20	2839	230
LMOD3	56203	399	2	396	0	1138	140
TMOD4	29765	149	0	115	3	629	76
KRT3	3850	1069	7	3774	358	885	5
ACTN2	88	1460	10	1495	24	6789	785
SYPL2	284612	234	0	171	5	734	80
PKHD1L1	93035	50	0	51	0	192	11
CEACAM1	634	394	2	220	88	278	13
ARPP21	10777	302	0	194	6	738	96
AOX1	316	252	1	117	45	2019	56
WIF1	11197	80	41	208	7	76	2
FMO2	2327	887	4	2007	157	1175	75
COL19A1	1310	78	5	928	10	765	49
DYNAP	284254	233	1	214	28	237	0
ABI3BP	25890	348	2	322	31	2763	104
NEB	4703	33001	284	29456	305	126265	18235
DCLK1	9201	166	0	375	38	2033	136
FLG	2312	343	91	3180	134	713	0
TMOD1	7111	220	1	254	2	1733	221
