""	"Symbol"	"logFC"	"logCPM"	"PValue"	"FDR"
"487"	"ATP2A1"	-4.47958389355397	5.96357492237503	9.34011640613099e-16	7.38228936742994e-12
"83699"	"SH3BGRL2"	-4.03076878207994	5.53479991586766	1.40321029603306e-15	7.38228936742994e-12
"5837"	"PYGM"	-5.24917840940328	5.98652929513367	2.3454707927373e-15	8.2263478937273e-12
"5744"	"PTHLH"	4.00261551451404	6.20668348884215	5.07793998842626e-15	1.33575211395553e-11
"23328"	"SASH1"	-3.32413733449139	6.72487696674242	1.10806889864758e-13	2.33182019031397e-10
"5737"	"PTGFR"	-5.12807128497748	4.73986870628984	3.58458023968989e-13	6.28615888033617e-10
"7049"	"TGFBR3"	-3.27592423352168	5.28174081459632	6.96429841385487e-12	1.04683354157973e-08
"5947"	"RBP1"	3.73134946716261	4.50363105387949	2.13984474968352e-11	2.39105201294685e-08
"2819"	"GPD1"	-3.81226258531234	3.1325845120213	2.15724289651373e-11	2.39105201294685e-08
"10351"	"ABCA8"	-3.90456057408928	4.93614128607805	2.27243110905422e-11	2.39105201294685e-08
"54209"	"TREM2"	3.51376531007942	2.46973197313727	3.91814266649659e-11	3.49396380388332e-08
"51806"	"CALML5"	3.95948791515249	6.32715495538437	3.98475248494581e-11	3.49396380388332e-08
"84952"	"CGNL1"	-3.91471012789422	5.40143734734948	5.21828133165209e-11	4.22359662858795e-08
"8436"	"SDPR"	-3.1823792427414	3.76616654887076	6.65558780942461e-11	4.88810490287308e-08
"100820829"	"MYZAP"	-4.40141953985019	4.4103930383347	6.96840653327279e-11	4.88810490287308e-08
"1288"	"COL4A6"	3.65042528026444	5.71548924689693	1.66699289465649e-10	1.09625620234848e-07
"2878"	"GPX3"	-4.29763627924658	6.60665380046996	6.37422800325888e-10	3.94527217942882e-07
"7148"	"TNXB"	-4.19251959253471	6.78107198211788	1.14717594291825e-09	6.46812315666141e-07
"4008"	"LMO7"	-2.48791280032691	7.02181205675166	1.18978139249843e-09	6.46812315666141e-07
"23428"	"SLC7A8"	2.77385663356609	7.32843965525033	1.22944747322969e-09	6.46812315666141e-07
"54566"	"EPB41L4B"	2.63173527124976	4.13377290719256	4.58931296826937e-09	2.29946433581573e-06
"1829"	"DSG2"	2.46481571750641	6.72003169985026	5.7693711336831e-09	2.75933286675516e-06
"22874"	"PLEKHA6"	-2.87883678339784	3.57131141860386	6.05856807935427e-09	2.77166318830285e-06
"3918"	"LAMC2"	3.90287207348411	8.46797495950353	6.99818810894871e-09	3.0681223034316e-06
"285313"	"IGSF10"	-3.30573744991183	3.92739961847956	7.56474767240446e-09	3.10362653133342e-06
"25840"	"METTL7A"	-2.60886441127238	5.50431882822221	7.66910186415785e-09	3.10362653133342e-06
"94121"	"SYTL4"	-3.32136332979503	3.18445896943596	1.452089541161e-08	5.65884672299854e-06
"6517"	"SLC2A4"	-4.29112490538639	3.30217954772445	1.6266641935973e-08	6.11277165893955e-06
"4629"	"MYH11"	-3.06526757126069	4.79585325059557	1.70396155756707e-08	6.11459012493559e-06
"7373"	"COL14A1"	-3.16744004422204	6.87735436168978	1.77707160759104e-08	6.11459012493559e-06
"130827"	"TMEM182"	-2.46996741979459	3.93077718665393	1.80148540080786e-08	6.11459012493559e-06
"55384"	"MEG3"	-2.63705510988313	5.91746938832441	2.32815087625057e-08	7.65525109997141e-06
"283383"	"ADGRD1"	-3.36753692392495	3.41934543473994	2.58828950156358e-08	8.25272185922789e-06
"91807"	"MYLK3"	-4.58647354459734	3.57895475904403	3.67226937417959e-08	1.13645936338581e-05
"116211"	"TM4SF19"	3.23212369182119	3.35399932065309	3.91686989812233e-08	1.17752300194409e-05
"7477"	"WNT7B"	2.31068905588114	5.56198421506978	8.56335340373469e-08	2.50287790316934e-05
