GeneSymbol	EntrezID	logFC	PValue	FDR
UBE2S	27338	3.002028863	4.22e-11	7.52e-09
GBP5	115362	3.004713945	3.21e-08	1.83e-06
DTL	51514	3.009458956	1.65e-08	1.07e-06
OIP5	11339	3.012961454	9.31e-07	2.95e-05
PLAC1	10761	3.019374994	0.000889913	0.007124891
GZMK	3003	3.024151934	0.00064108	0.005504792
TPRXL	348825	3.024184719	4.04e-06	9.7e-05
CDC45	8318	3.028187423	4.6e-09	3.83e-07
ICOS	29851	3.02854773	1.3e-06	3.83e-05
PAEP	5047	3.03938909	0.000669324	0.005676756
CDKN3	1033	3.039575641	1.25e-08	8.7e-07
HLA-DQB2	3120	3.042280744	2.62e-07	1.02e-05
SMC1B	27127	3.042860292	3.01e-05	0.000494231
HOXC10	3226	3.043288083	3.7e-08	2.04e-06
ERP27	121506	3.060710677	1.48e-07	6.17e-06
TREM1	54210	3.061934906	0.000160299	0.001861289
GPR84	53831	3.063054705	2.59e-07	1.01e-05
KIF18A	81930	3.063420631	4.74e-10	5.91e-08
MAPK4	5596	3.063566138	0.000317819	0.00315825
KRT6A	3853	3.065121819	0.000310135	0.003109034
COCH	1690	3.070539094	2.58e-06	6.74e-05
ORC1L	4998	3.073908532	1.24e-09	1.33e-07
DIAPH3	81624	3.07976977	2.45e-07	9.65e-06
PPEF1	5475	3.081246521	5.02e-05	0.000736565
HIST1H3H	8357	3.085711816	0.000516453	0.004661573
UHRF1	29128	3.090542679	2.54e-14	1.4e-11
GINS1	9837	3.09096586	1.55e-08	1.02e-06
ARTN	9048	3.092367118	0.000158792	0.001845942
SELL	6402	3.092784804	3.07e-06	7.73e-05
CENPE	1062	3.097769735	1.51e-13	6.42e-11
GSTA2	2939	3.109654869	0.001015092	0.007865066
GTSE1	51512	3.109929333	3.1e-10	4.05e-08
CCR7	1236	3.111043635	1.67e-05	0.000305004
SLC6A17	388662	3.113562438	2.46e-05	0.000417305
NEURL	9148	3.122579525	0.000119503	0.001469942
ADAM19	8728	3.136016678	9.73e-19	4.03e-15
POLQ	10721	3.138630673	2.66e-09	2.4e-07
RAD51AP1	10635	3.140124433	2.38e-09	2.18e-07
KCNJ10	3766	3.142180453	8.04e-06	0.000169754
HIST1H3D	8351	3.144908352	5.46e-05	0.00078137
