Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0008210~estrogen metabolic process	7	9.859154929577464	1.7756267046349616E-9	PDGFRA, CYP2C9, UGT1A1, CYP2D6, CYP1A1, CYP3A4, UGT2B7	71	33	19478	58.1929150661545	1.4773203717011185E-6	1.477321418256288E-6	1.4506870176867637E-6
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	13	18.30985915492958	1.2087372350504772E-8	PDGFRA, ITGB2, CD3G, CD3E, CD2, CDH5, FCGR3A, AZGP1, FCGR3B, CXCR1, CXCR2, PECAM1, CD14	71	413	20795	9.219213586604372	2.1394626258386396E-6	2.1394649060393447E-6	1.8614553419777348E-6
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	9	12.676056338028168	1.2821446445989503E-8	CYP2C9, ABCC2, UGT1A1, CYP2D6, HNF4A, NR1I2, CYP1A1, CYP3A4, UGT2B7	71	122	19478	20.23805125836989	1.0667386626250774E-5	5.333721721531633E-6	5.237560873186712E-6
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	11	15.492957746478872	4.348061235776344E-7	CD2, CDH5, MARCO, FCGR3A, FCGR3B, CXCR1, CXCR2, PECAM1, CD3G, CD14, CD3E	71	347	19478	8.696594552908227	3.616933466261685E-4	1.205862316055306E-4	1.1841220098764243E-4
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	24	33.80281690140845	5.835755364619101E-7	VWF, ITGB2, AK2, KRT7, APOA1, PCOLCE, JCHAIN, ACTA2, FCGR3A, KRT19, AZGP1, FCGR3B, DES, IGKC, EPCAM, ALB, PECAM1, IGLC1, CD14, APOE, PCK1, APOB, GART, CD44	71	2242	20795	3.1352791144727417	1.0328756556332586E-4	5.1646434976879046E-5	4.493531630756708E-5
COG_ONTOLOGY	Secondary metabolites biosynthesis, transport, and catabolism	6	8.450704225352112	6.316487815778119E-7	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP7A1, CYP8B1	8	66	2025	23.011363636363637	1.8949451479066681E-6	1.894946344733436E-6	1.894946344733436E-6
UP_KW_BIOLOGICAL_PROCESS	KW-0753~Steroid metabolism	8	11.267605633802818	6.871112055778475E-7	CYP2C9, CYP2D6, APOA1, APOE, APOB, CYP3A4, CYP7A1, UGT2B7	56	107	11523	15.384512683578102	2.8171172293145474E-5	2.8171559428691748E-5	2.4048892195224663E-5
GOTERM_BP_DIRECT	GO:0008202~steroid metabolic process	6	8.450704225352112	1.1818604116588454E-6	CYP2C9, UGT1A1, CYP2D6, NR1I2, CYP1A1, CYP3A4	71	52	19478	31.654387865655472	9.828251542304267E-4	2.458269656250399E-4	2.4139498908131918E-4
UP_KW_BIOLOGICAL_PROCESS	KW-1207~Sterol metabolism	7	9.859154929577464	1.762779076528078E-6	CYP2C9, CYP2D6, APOA1, APOE, APOB, CYP3A4, CYP7A1	56	78	11523	18.466346153846153	7.227139413445993E-5	3.61369710688256E-5	3.084863383924137E-5
INTERPRO	IPR001128:Cyt_P450	6	8.450704225352112	3.0610840578669965E-6	CYP2C9, CYP2D6, CYP1A1, CYP3A4, CYP7A1, CYP8B1	71	67	20808	26.245112465839814	9.698944795418774E-4	4.85181823171919E-4	4.8059019708511844E-4
