baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AMBP	51079.6670442756	12.0930841788444	0.352011884121056	34.3541929245935	1.21933703204104e-258	2.88312241226103e-254
HPX	28340.6011573348	12.7358048012737	0.42457973725017	29.9962614413921	1.09794545459571e-197	1.29804601369578e-193
ORM1	35646.4824901322	11.9287439611534	0.428735917114085	27.8230572363715	2.28248498111201e-170	1.79897857927978e-166
MAT1A	16088.8060793666	12.5653256328654	0.460897548067726	27.2627304821744	1.17407501110342e-163	6.94025090938511e-160
ADH6	5766.1751637219	10.2762324207179	0.380499464796415	27.0072191197856	1.21581020274367e-160	5.74956644877481e-157
HPD	11412.1583367931	11.8092357222574	0.446031699180966	26.4762252188406	1.82101380122006e-154	7.17631188830805e-151
PIPOX	4410.61447493824	9.89063627217043	0.373998929715648	26.4456272099236	4.09676690644776e-154	1.38382933575653e-150
SLC38A4	7876.14439368473	12.1861090435402	0.463236446512774	26.3064556670287	1.61782667292499e-152	4.78168896016393e-149
TF	113911.154519488	13.2561615987411	0.518223158824065	25.5800254639749	2.54537098790176e-144	6.68725522321524e-141
HSD17B13	4261.2476518465	10.7452025174784	0.435156249261932	24.6927455039502	1.27970291842761e-134	3.02585755062207e-131
C8A	5486.52012131952	11.7813196963804	0.481520061480529	24.466934275088	3.32349974641899e-132	7.14401377309791e-129
ADH1A	12392.1080410979	12.0481072006303	0.498408838533792	24.1731411426675	4.26466262898448e-129	8.40316232186151e-126
PRG4	4095.83676556823	11.1482227384304	0.461479668229231	24.1575599228627	6.21851604033657e-129	1.13105239825968e-125
SERPIND1	9778.06623406458	12.384395101663	0.513869436928831	24.1002756958636	2.48312690938228e-128	4.19382398373886e-125
SLC27A5	4549.48877211299	8.32852636418873	0.346700071790256	24.0222804719442	1.6271478880677e-127	2.56492745422405e-124
PAH	12246.7406719746	11.9715182343588	0.500029540525718	23.9416219725183	1.12969031097512e-126	1.66947046268792e-123
ITIH1	17584.3399508983	11.6233286450312	0.487003887250871	23.8670141025869	6.74299414930355e-126	9.37871156825191e-123
LIPC	1669.25813070408	8.57091545037215	0.361849589488358	23.68640368638	4.97897810155208e-124	6.54044095617772e-121
ASGR2	3677.47313815665	9.80366026353497	0.414634602483898	23.6440958009907	1.35750395583092e-123	1.66206037470925e-120
CP	20819.2167738134	8.57786102613304	0.362813494240759	23.6426184866235	1.40584510442737e-123	1.66206037470925e-120
PROC	1794.49063812164	7.49651788312413	0.319620513971231	23.4544328522007	1.19115753204297e-121	1.34118665929315e-118
FTCD	4287.51494496721	11.1168201926634	0.474042963277563	23.451081555564	1.28874010377843e-121	1.38510271608368e-118
ORM2	10839.5188139088	8.33972000945957	0.355918949368616	23.4315144620814	2.04045916504048e-121	2.09768073727748e-118
CYP2E1	46170.1320826516	11.523382038871	0.496029212815654	23.2312568315479	2.20085225170587e-119	2.16829797881606e-116
HSD11B1	4085.89243370668	8.5288823801711	0.368821078020324	23.1247151761243	2.61237639782531e-118	2.47078559706318e-115
HSD17B6	10710.3913835469	8.52907503989333	0.372068261571861	22.9234146547757	2.71436167023568e-116	2.4685031420278e-113
UGT2B7	8546.4983504936	10.9561722549083	0.479162236921828	22.8652665228619	1.03021251455899e-115	9.02199070620272e-113
CYP4F2	1947.90359197196	8.26568720954757	0.364079301069282	22.7029858200444	4.18580652558016e-114	3.53476411776225e-111
ITIH3	10793.9749316946	10.737057833825	0.473582983942522	22.6719671058285	8.47226348363783e-114	6.90781620933161e-111
CLDN1	4985.66477116769	8.23226984392066	0.368725532251545	22.3262809972828	2.05319390506518e-110	1.61825899617554e-107
F12	2520.42327043121	9.03516995663179	0.404927321047521	22.3130657947663	2.75921252315744e-110	2.10456710032444e-107
CYP4A11	8990.3372617755	13.2752137888192	0.5952014056372	22.3037339345785	3.39920247157343e-110	2.51169195126105e-107
CYP2B6	8628.79989807645	12.7821109207969	0.575709489960382	22.2023627258195	3.25864455914404e-109	2.33486820002911e-106
APOH	58006.3864849279	12.9582655690845	0.583815629951539	22.1958181732136	3.76929534177877e-109	2.62132318695174e-106
ASGR1	3544.71377074169	9.13150416289238	0.412892442841703	22.1159392020969	2.22038932491438e-108	1.50003158821715e-105
SARDH	1270.12418133693	6.44353967501107	0.292881132033604	22.000528440568	2.8464307469711e-107	1.86955152811477e-104
CPS1	27338.3055928401	10.6638796175281	0.485537744630579	21.9630291062988	6.50172059945112e-107	4.15495090740599e-104
KHK	2138.94205708696	7.12843303410464	0.325254514741615	21.9164768235962	1.80930073665131e-106	1.12581357679264e-103
PLG	27832.7990122374	13.1411770548083	0.600496819231095	21.8838412360533	3.70302125967924e-106	2.24507532525937e-103
APOM	1605.01427336317	7.37326460154707	0.339096929114855	21.7438259343531	7.90287336672951e-105	4.67158601890798e-102
MASP1	2991.54056144984	7.43022724979324	0.344137308717871	21.5908797493522	2.18807964497811e-103	1.26188154159774e-100
BCHE	1998.06768685856	7.13847827701749	0.331555267472548	21.5302816071487	8.10396991849348e-103	4.56234211244711e-100
ARG1	5011.26295428094	12.2795204152251	0.572170524920373	21.4612949818308	3.58187506161928e-102	1.96961478679042e-99
F2	11233.5769413098	13.6034920852299	0.634410689982779	21.4427220411421	5.33973151214607e-102	2.86949890010668e-99
ALDH8A1	2371.69988654517	10.3604381109648	0.488003556705835	21.2302512319802	5.01935113555803e-100	2.63739016889488e-97
SLC47A1	1246.72997689065	7.1511836098408	0.337822277814111	21.1684784559288	1.86481204397232e-99	9.58553929994035e-97
ADH4	35391.5945513211	12.8521553865904	0.610579822854298	21.0490994060531	2.33066275310279e-98	1.17252171908756e-95
SERPINA6	3600.97178082293	11.7854427469749	0.56127930160962	20.9974654564615	6.91790392957775e-98	3.40778830030971e-95
SLC22A1	4824.15123368371	12.3978115038867	0.591536781258818	20.9586485518341	1.56466698334258e-97	7.55031649410924e-95
SERPINF1	6688.38766637712	4.88632007056612	0.234653591389156	20.8235469213958	2.64837687440249e-96	1.25241742390494e-93
SERPINA1	188798.906615424	8.31229715502121	0.400007028858068	20.7803777317388	6.51440952397467e-96	3.02025908224276e-93
AKR1D1	3914.26880363069	11.9094596292398	0.574790395246823	20.7196566395751	2.30321981984181e-95	1.04730062769538e-92
ACSM2B	2955.49150892308	10.640698305486	0.517634689273022	20.5563856634686	6.74760296684706e-94	3.01032211605847e-91
RDH16	5284.91087010091	12.0356021482231	0.588249440426968	20.4600316142881	4.89066076690172e-93	2.1414754413591e-90
BHMT2	4493.71032830123	7.66264077551452	0.375360207562561	20.4140998995941	1.25318540998222e-92	5.38755800345991e-90
ADAM28	1611.12060761499	-6.46894382942261	0.31769333321475	-20.3622271955258	3.61759692443699e-92	1.52746570139844e-89
SLC6A1	1660.08244772769	9.194262584447	0.451977238752036	20.3423132762913	5.43074992202234e-92	2.25280845449506e-89
TTPA	1543.04503940687	9.34659426360049	0.467548337112741	19.9906480714244	6.64274527487202e-89	2.70806400041981e-86
C1R	16659.3356988947	4.63866178754978	0.232541525892486	19.9476707213765	1.57035751396978e-88	6.29340735895176e-86
OIT3	1000.01522248762	8.78675036682987	0.442644263090008	19.8505913201978	1.08911799391281e-87	4.29203249434472e-85
F7	1906.54623099848	10.8708590526146	0.552831820716431	19.6639532046596	4.39137323521647e-86	1.70219705158514e-83
PCK1	18560.8843985955	9.1378029143375	0.464740753840931	19.6621510784594	4.55018764040196e-86	1.73530946382749e-83
ABCC2	2582.85808382188	8.84991991331603	0.450667941811951	19.6373406942019	7.41824415299549e-86	2.78419655551712e-83
TAT	11317.0758154739	13.1357087324709	0.669950841269876	19.6069740095742	1.34818170351409e-85	4.98089943431105e-83
SERPING1	22699.5778577603	5.28923463824093	0.26978118137773	19.6056471071467	1.38380892690133e-85	5.03387108870491e-83
SLC10A1	2782.47577185977	11.5934694493754	0.592353729398079	19.5718687567918	2.68647847650359e-85	9.62451266317083e-83
SLC39A5	1072.81081640639	7.00349910728718	0.360462341582547	19.4292115968052	4.37022898864516e-84	1.54229946920171e-81
TDO2	5040.79967000238	7.94566119685618	0.410253294248618	19.3676962701999	1.44583507030909e-83	5.02746621139095e-81
AHSG	38106.8061307958	14.5199123632266	0.75286195188446	19.2862879135841	7.00241878530441e-83	2.39959698809453e-80
CRHBP	1120.19849312838	8.42004755943798	0.437743560884891	19.2351146009252	1.88127016532833e-82	6.35466186559834e-80
SERPINC1	22425.9454917229	14.5847447366416	0.759891132075201	19.1932029747628	4.21822084433274e-82	1.40478636428518e-79
ACSM5	1740.01387079674	8.47558989961433	0.441767783558118	19.1856224357277	4.88062092701385e-82	1.6028094697117e-79
ETNK2	1225.43266898094	6.56566400620925	0.343397763278741	19.1197052174152	1.73082962162025e-81	5.60622827441242e-79
CPB2	7499.18362554895	13.7092373244304	0.717440464310976	19.1085365356367	2.14397490242768e-81	6.85057926593278e-79
APCS	8575.66092502256	13.8901701928816	0.730736403288052	19.0084552109089	1.45164691683382e-80	4.54915894855243e-78
HRG	47599.9443087424	15.6672606224486	0.824242345822624	19.0080753577543	1.462195305942e-80	4.54915894855243e-78
COLEC10	865.697707026345	9.08971457930804	0.47858384582986	18.9929406487729	1.9509146019472e-80	5.99082802117423e-78
BHMT	8486.02040855152	7.91014277513245	0.416947789519247	18.971542658262	2.93175496516271e-80	8.88735207067594e-78
AQP9	6649.17962824623	10.0712383182265	0.532493857015922	18.91334178889	8.85625009449166e-80	2.65070928461083e-77
LINC01018	921.338966845115	7.7178218316671	0.409967544000776	18.8254459276232	4.67258423355529e-79	1.38104067753019e-76
FN1	53193.1227428214	6.12869704066475	0.326291241754572	18.7829039103495	1.04221106629719e-78	3.04235563735766e-76
KNG1	21415.8186939331	12.4399300108043	0.662657428223316	18.7727919147569	1.26081897707392e-78	3.63561764791621e-76
MECOM	1169.72904516396	-5.86449427827809	0.312765073363389	-18.7504768841768	1.91862861943974e-78	5.46577996465694e-76
ALB	1319436.46591913	14.8372464599571	0.794022651120081	18.6861753112799	6.41503445473318e-78	1.8057558295496e-75
CYP8B1	5244.77995730835	13.2030607091834	0.712164855974979	18.5393320077665	9.94492170586678e-77	2.76644322041435e-74
UPB1	2348.67573431911	9.01853667836497	0.488744518570838	18.4524559062811	4.98283046495435e-76	1.36998867841681e-73
CPN2	2947.17814195741	10.8468520804909	0.588435677683815	18.4333691716077	7.09252906483566e-76	1.9276189625062e-73
CAT	9607.30624182393	3.83665101454212	0.208909281399179	18.3651534716216	2.49742780454086e-75	6.7104182316328e-73
PC	1777.89996023599	4.84336557191567	0.2650964166863	18.2702038468028	1.42915878496851e-74	3.79690555849218e-72
DPYS	3878.2012965165	12.4730415910743	0.683363105640462	18.2524363520977	1.97884061527651e-74	5.19885403869034e-72
CFHR1	5741.05752443438	13.043751276078	0.720290930327428	18.109003913389	2.70600486917321e-73	7.03115221226381e-71
DMGDH	2759.56228817386	8.45970935295206	0.470309019592619	17.9875549915667	2.43883571348555e-72	6.2680728744963e-70
SLC13A5	2979.96051447664	12.1038097013149	0.673789143602862	17.9637944841227	3.74321799992315e-72	9.51703114066484e-70
C6	7870.67322438499	7.77276228518993	0.433918017501842	17.912974275508	9.34081781957556e-72	2.3496131632326e-69
PEBP1	10830.1354605299	3.66519245213653	0.205782207246293	17.8110270133793	5.80351087292573e-71	1.44446331147715e-68
C1orf116	1040.89654926038	-6.95392714623676	0.391492200883038	-17.7626198696978	1.37656582105281e-70	3.39051029570767e-68
CYP2D6	953.888579068555	6.3542956411848	0.358008439087039	17.749010770218	1.75416715906303e-70	4.27600850268508e-68
C1S	28706.179132962	4.35341952241356	0.245656219643677	17.7215929184622	2.85706347060027e-70	6.89339446554524e-68
PGLYRP2	2059.09043977149	10.8209633168993	0.611353678497767	17.7000052465356	4.19268150758841e-70	1.00137327522149e-67
B4GALNT3	1442.76244775907	-8.03392140486577	0.454718763259272	-17.667890691999	7.41168059696589e-70	1.75249187715259e-67
USH2A	475.570064003327	8.14120890916266	0.46136901988073	17.645764146165	1.09680559882639e-69	2.56771964200495e-67
NR1H4	923.506227508746	8.21506463970173	0.466276394017172	17.6184442213028	1.77828487547171e-69	4.12230841965968e-67
HP	161610.660169539	14.4672604541148	0.822630653627063	17.5865807945852	3.12153347056473e-69	7.16588921470903e-67
GRB14	380.144333294476	6.21919396479181	0.35405737730044	17.565497468831	4.52708227516957e-69	1.02925827304216e-66
RIDA	5154.31194809094	5.96754917559401	0.340487676379564	17.5264762561967	8.99755657419894e-69	2.02616404949461e-66
ASPDH	334.646157121745	6.48309846709973	0.370929443620066	17.4779828849074	2.10826001487843e-68	4.70281208035853e-66
AOX1	17272.7808652344	8.59478546667665	0.493509828502008	17.4156318077091	6.27918931237567e-68	1.38758347001049e-65
NNMT	4448.4899425882	6.06896810934222	0.349133524532018	17.3829428654184	1.11102901788495e-67	2.43243343776755e-65
HAL	1233.45086889938	8.78912606546628	0.507604178600014	17.3149206330549	3.63022598412347e-67	7.87492599950455e-65
SERPINF2	10052.7141957404	10.1017749028749	0.583944567589469	17.2992017796743	4.76951358815965e-67	1.02522862538214e-64
GBP7	653.301140432655	7.67397308251722	0.444248374988772	17.2740599956301	7.37654888570513e-67	1.57133782344593e-64
PTMS	4847.14153949349	4.02720198815719	0.234952896247894	17.1404653974053	7.40555549190799e-66	1.5634317821979e-63
LINC01348	643.050957476985	5.7257767677622	0.33469449710983	17.1074720893403	1.3054340019744e-65	2.7315917678482e-63
EPHX1	10544.9122772883	4.94370492527485	0.289472165426743	17.0783429832944	2.15142274060825e-65	4.46231497383177e-63
IGFBP1	7252.46758804326	13.1621480680407	0.770838944916566	17.075094810454	2.27455954145233e-65	4.6766922050122e-63
C8B	5929.6216359365	13.6766510987901	0.805140820865964	16.9866571714502	1.03100018577839e-64	2.10155167178708e-62
CFH	2523.88023876157	4.79641550839229	0.284415143664644	16.8641354556274	8.26018728814205e-64	1.66933443100956e-61
ABAT	7612.15517800016	5.78742510897593	0.343453438357572	16.8506832735522	1.03709505317061e-63	2.07814512984907e-61
TTR	32288.3085034382	8.37561652916884	0.497896838353042	16.821991794272	1.68400576598571e-63	3.34607700308674e-61
CFB	3201.85289569805	4.90012094342808	0.291713202401076	16.7977345663324	2.53544463682222e-63	4.99588236980512e-61
PON1	5393.20635758284	12.9429595435654	0.774448340270635	16.7124892269024	1.06303842207564e-62	2.07731764379987e-60
VSIG2	2180.58279052638	-9.24043085410763	0.553392757221967	-16.6977806151541	1.36031306996933e-62	2.63644283110039e-60
F11	1680.5593143952	9.64848487602771	0.57805208840995	16.6913762089639	1.5143929268089e-62	2.91120493938182e-60
GLYAT	2010.27505502573	11.2776285859042	0.678608392570405	16.6187579012798	5.09778784195154e-62	9.72074141314066e-60
PROS1	3795.12966158768	5.18608680001191	0.312148790147062	16.6141499301298	5.50496366534171e-62	1.04131892693604e-59
SRD5A2	1062.58753766488	9.31711068196157	0.563516724577156	16.5338671872655	2.09275463541811e-61	3.92723677416358e-59
HPR	3283.29730080593	11.3230482381368	0.68930556719741	16.4267471161944	1.23086932174615e-60	2.29164607186517e-58
ELAPOR1	2276.47141489898	-9.67772541314068	0.590317796516876	-16.3940939443861	2.10759658608278e-60	3.89329072483807e-58
DIO1	1165.23713125557	9.11877340549147	0.558935625430873	16.3145324624137	7.77995683723395e-60	1.42602387144494e-57
FST	717.768345501182	4.92407595240776	0.302087758710216	16.3001505702562	9.84493031048923e-60	1.79064136301168e-57
C4BPA	12046.826234469	11.8870727281874	0.729315877662578	16.2989358826039	1.00425338644764e-59	1.81263903225606e-57
DHTKD1	2851.09374681899	3.64356954629558	0.225364627662864	16.1674419986894	8.55785383442368e-59	1.53295798420415e-56
ACMSD	705.983326403785	9.16026930171093	0.568022131527163	16.1266063297269	1.65889021380618e-58	2.94920745153738e-56
RARRES2	3782.53080763878	4.66990099270718	0.289802522010733	16.1140798924249	2.03165450740454e-58	3.58496050952092e-56
EPCAM	1186.25227559097	-5.62196052513613	0.349191231954538	-16.0999475664614	2.55320854863199e-58	4.47189749128915e-56
HISLA	395.220104506135	8.08923513708572	0.503411555205985	16.0688308669748	4.21969919281254e-58	7.33638142750386e-56
COLCA1	961.009927969862	-7.21318262166957	0.450113588762723	-16.0252496297596	8.51482584398543e-58	1.46958435825573e-55
CYP27A1	4431.18118129785	5.51649513290905	0.344525153821542	16.0118791667865	1.0557249561015e-57	1.80888525992899e-55
TMEM176A	3910.56442656959	4.36130035253534	0.273206511417296	15.9633836320756	2.29921201363236e-57	3.91114158721851e-55
