"gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"LIPF",139839.135306297,-19.9861428554273,2.32905148506278,-8.58123703301841,9.38582476909067e-18,2.57158547700057e-16,"LIPF"
"PGC",111083.601505443,-19.654101905883,1.2507240326141,-15.714179461959,1.20936785202254e-55,1.93212857169413e-53,"PGC"
"GKN1",74031.4504269719,-19.0686654671106,1.30336104036544,-14.6303785954536,1.79783936938185e-48,2.28547913381902e-46,"GKN1"
"MUC5AC",26612.53534957,-17.5925982351011,1.9188178277587,-9.16845673445215,4.79839042847042e-20,1.55209222546078e-18,"MUC5AC"
"C9",12062.8932783705,17.5600589642034,1.21074028547689,14.5035720499601,1.1500590208461e-47,1.45417890630514e-45,"C9"
"CYP1A2",8221.83693978758,17.0070144195545,1.35854150704587,12.5185828562103,5.90805796580253e-36,4.78411063703428e-34,"CYP1A2"
"F9",6849.46549205978,16.7435940649051,1.21128729283845,13.8229750810555,1.85252346582178e-43,2.04686529669888e-41,"F9"
"UGT2B10",6812.47353714692,16.7357942138089,1.24715800702702,13.4191450638269,4.67070344321884e-41,4.80168621369171e-39,"UGT2B10"
"TFF1",11325.1572918512,-16.3600613890728,1.37347023251672,-11.9114786776958,1.03131942528142e-32,7.21465911561514e-31,"TFF1"
"GKN2",9709.76316694561,-16.1380458323938,1.31263324349432,-12.2944058535598,9.70678454368039e-35,7.37996529052485e-33,"GKN2"
"MBL2",4220.94929723447,16.0452013994182,1.22176846450576,13.1327676769828,2.13700860168917e-39,2.02929993521849e-37,"MBL2"
"PSCA",8600.60342033307,-15.9630013752677,1.99143850796427,-8.01581435300545,1.09409657336713e-15,2.57668460928941e-14,"PSCA"
"HAO1",3611.22316330012,15.8201262473201,1.21707691923901,12.9984604894256,1.24830953580129e-38,1.1666513428467e-36,"HAO1"
"HRG",47599.9443087424,15.6672606224488,0.82424234581836,19.0080753578529,1.46219530319554e-80,4.5491589400077e-78,"HRG"
"CLDN18",10833.4866244688,-15.3341914871874,1.31054301834558,-11.70063956126,1.26496497081711e-31,8.19454705067686e-30,"CLDN18"
"CFHR2",4276.80116200901,15.102185783567,1.21332197493599,12.4469729350808,1.45250283306001e-35,1.13937909122778e-33,"CFHR2"
"CYP2A6",10797.688713439,14.9549605245188,1.02109629135376,14.6459845669321,1.42915900296014e-48,1.82661970945905e-46,"CYP2A6"
"ALB",1319436.46591913,14.8372464599571,0.79402265111691,18.6861753113546,6.41503444575884e-78,1.80575582702343e-75,"ALB"
"F13B",1784.42826947926,14.8028363654744,1.22866537432293,12.0478990250959,1.98956583657764e-33,1.42988705792943e-31,"F13B"
"APOF",1672.86822477279,14.7095187004007,1.260451146777,11.6700426970242,1.8133221537573e-31,1.16195128253635e-29,"APOF"
"CRP",12253.079275756,14.6755636730818,1.56038468702723,9.40509336902105,5.19840312144396e-21,1.82098136009692e-19,"CRP"
"UGT2B4",8507.1942708977,14.6122921113983,0.920111856514337,15.8809953463203,8.58059074933266e-57,1.40894491852757e-54,"UGT2B4"
"SERPINC1",22425.9454917229,14.5847447366418,0.759891132072084,19.1932029748418,4.21822083792171e-82,1.40478636215012e-79,"SERPINC1"
"AHSG",38106.8061307958,14.5199123632268,0.752861951880699,19.2862879136807,7.00241877221857e-83,2.39959698361026e-80,"AHSG"
"APOA2",34977.1183146132,14.5043365101335,1.87976134252923,7.7160521295846,1.19988252443274e-14,2.58625545033839e-13,"APOA2"
"HP",161610.660169539,14.4672604541148,0.822630653623959,17.5865807946515,3.12153346690979e-69,7.16588920631865e-67,"HP"
"SPP2",1410.8812084597,14.4640693971273,1.21552320011223,11.8994597518104,1.19115770195191e-32,8.28380113607439e-31,"SPP2"
"VSIG1",2699.96770767249,-14.2915543538051,1.31687612702267,-10.8526186028726,1.93792368435262e-27,9.94732713138156e-26,"VSIG1"
"REG1A",2693.26638799088,-14.2879587592383,1.32837313479587,-10.7559829275182,5.55387127794318e-27,2.76465866035719e-25,"REG1A"
"SLCO1B1",4376.31312843159,14.245929994884,1.07583837993416,13.2417008545056,5.03944822535292e-40,4.94430511570414e-38,"SLCO1B1"
"UROC1",1086.57538733299,14.0876566784,1.21552887473048,11.5897342887257,4.64571497803248e-31,2.90602991152323e-29,"UROC1"
"LBP",3750.95121702055,14.0237647413846,1.07467562908852,13.0493000509175,6.41339102694009e-39,6.01764408063486e-37,"LBP"
"APCS",8575.66092502256,13.8901701928815,0.730736403289356,19.0084552108749,1.45164691777653e-80,4.5491589400077e-78,"APCS"
"CFHR5",1781.92730259463,13.8387591182307,1.2582586699879,10.9983419532994,3.8922257924576e-28,2.0588742474868e-26,"CFHR5"
"LECT2",1651.3392466551,13.7296343173755,1.26510688522161,10.8525488855991,1.93940275219577e-27,9.94732713138156e-26,"LECT2"
"CPB2",7499.18362554895,13.7092373244305,0.717440464312072,19.1085365356076,2.14397490362341e-81,6.85057926975344e-79,"CPB2"
"C8B",5929.6216359365,13.6766510987901,0.805140820866597,16.9866571714368,1.03100018601458e-64,2.10155167226852e-62,"C8B"
"F2",11233.5769413098,13.6034920852299,0.634410689984028,21.4427220410998,5.33973151699927e-102,2.86949890271472e-99,"F2"
"CHGA",3168.6386553912,-13.5605824147789,1.21303810880131,-11.1790242337721,5.16547962446907e-29,2.86708370236083e-27,"CHGA"
"SERPINA11",2684.89980003737,13.5474254220242,1.06138323012621,12.7639339283825,2.60695348138583e-37,2.25570378894629e-35,"SERPINA11"
"C6orf58",1561.21391391605,-13.501171322147,3.07514630564551,-4.39041592829612,1.13134050718359e-05,7.6190675854047e-05,"C6orf58"
"ACOT12",686.791951580774,13.4261880181599,1.31890736036494,10.1797809471962,2.44110263104901e-24,1.06494228249361e-22,"ACOT12"
"C3P1",2355.45407534453,13.3604861468087,1.09239115578162,12.2304964445168,2.13628999563411e-34,1.60868079448308e-32,"C3P1"
"SERPINA7",2295.48259070771,13.3122745182985,1.12622801661931,11.8202302924935,3.06842231172871e-32,2.0322925927402e-30,"SERPINA7"
"CYP4A11",8990.3372617755,13.2752137888191,0.595201405638481,22.3037339345302,3.39920247524175e-110,2.5116919539716e-107,"CYP4A11"
"LPA",1204.77637575691,13.2741011980826,1.3513119404934,9.8231213684354,8.95276549894828e-23,3.58793458004461e-21,"LPA"
"TF",113911.154519488,13.2561615987411,0.518223158823498,25.5800254640029,2.54537098607526e-144,6.68725521841662e-141,"TF"
"CYP8B1",5244.77995730835,13.2030607091836,0.712164855976383,18.5393320077304,9.94492171254828e-77,2.76644322227299e-74,"CYP8B1"
"SLC17A2",584.674670666128,13.193903554759,1.22606687825096,10.7611613924199,5.25042470204187e-27,2.6246573378389e-25,"SLC17A2"
"KRT20",1253.22625041433,-13.1842686657877,1.38993082057994,-9.4855574612603,2.41090947093458e-21,8.72985519758777e-20,"KRT20"
"IGFBP1",7252.46758804326,13.1621480680407,0.770838944915802,17.0750948104709,2.27455954079136e-65,4.6766922036532e-63,"IGFBP1"
"PLG",27832.7990122374,13.1411770548084,0.60049681922955,21.8838412361098,3.70302125508578e-106,2.24507532247444e-103,"PLG"
"TAT",11317.0758154739,13.1357087324709,0.669950841269046,19.6069740095986,1.3481817028681e-85,4.9808994319244e-83,"TAT"
