# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CRYZL1	CRYZL1	NM_145858.3	protein_coding	0	0	0	12	1	1	9	0	0	0	0	1
CTBP2	CTBP2	NM_001083914.3	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
CTBP2	CTBP2	NM_001290214.3	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
CTBP2	CTBP2	NM_001290215.3	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
CTBP2	CTBP2	NM_001321012.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
CTBP2	CTBP2	NM_001321013.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
CTBP2	CTBP2	NM_001321014.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
CTBP2	CTBP2	NM_001329.4	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
CTBP2	CTBP2	NM_001363508.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
CTBP2	CTBP2	NM_022802.3	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
DHRS7C	DHRS7C	NM_001105571.3	protein_coding	0	0	0	12	0	2	3	0	0	0	0	7
DHRS7C	DHRS7C	NM_001220493.2	protein_coding	0	0	0	12	0	2	3	0	0	0	0	7
DNAH9	DNAH9	NM_001372.4	protein_coding	0	1	1	38	0	0	38	1	0	0	1	0
DNAJC28	DNAJC28	NM_001040192.2	protein_coding	0	0	0	4	0	1	0	0	0	0	0	3
DNAJC28	DNAJC28	NM_001320746.2	protein_coding	0	0	0	4	0	1	0	0	0	0	0	3
DNAJC28	DNAJC28	NM_017833.4	protein_coding	0	0	0	4	0	1	0	0	0	0	0	3
DONSON	DONSON	NM_017613.4	protein_coding	0	0	0	17	0	12	4	0	0	0	0	1
GART	GART	NM_000819.5	protein_coding	0	0	2	18	0	1	14	2	0	0	0	3
GART	GART	NM_001136005.1	protein_coding	0	0	2	18	0	1	14	2	0	0	0	3
GART	GART	NM_001136006.1	protein_coding	0	0	2	18	0	1	14	2	0	0	0	3
GART	GART	NM_175085.3	protein_coding	0	0	1	13	1	5	4	1	0	0	0	3
GSG1L2	GSG1L2	NM_001310219.1	protein_coding	0	0	0	7	0	4	3	0	0	0	0	0
IFNAR1	IFNAR1	NM_000629.3	protein_coding	0	0	1	34	1	3	16	1	0	0	0	14
IFNAR2	IFNAR2	NM_000874.5	protein_coding	1	0	3	25	1	1	22	3	0	1	0	1
IFNAR2	IFNAR2	NM_001289125.1	protein_coding	0	0	2	27	0	1	25	2	0	0	0	1
IFNAR2	IFNAR2	NM_001289126.1	protein_coding	0	0	2	27	0	1	25	2	0	0	0	1
IFNAR2	IFNAR2	NM_001289128.1	protein_coding	0	0	2	27	0	1	25	2	0	0	0	1
IFNAR2	IFNAR2	NM_207584.3	protein_coding	1	0	3	25	1	1	22	3	0	1	0	1
IFNAR2	IFNAR2	NM_207585.2	protein_coding	0	0	2	27	0	1	25	2	0	0	0	1
IFNGR2	IFNGR2	NM_001329128.1	protein_coding	0	0	1	29	1	8	20	1	0	0	0	0
IFNGR2	IFNGR2	NM_005534.3	protein_coding	0	0	1	29	1	8	20	1	0	0	0	0
IL10RB	IL10RB	NM_000628.5	protein_coding	0	0	1	15	2	1	8	1	0	0	0	4
IL10RB-DT	IL10RB-DT	NR_038974.1		0	0	0	5	0	4	0	0	0	0	0	1
IRF5	IRF5	NM_001098627.3	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
IRF5	IRF5	NM_001098629.3	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
IRF5	IRF5	NM_001098630.3	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
IRF5	IRF5	NM_001242452.3	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
IRF5	IRF5	NM_001347928.2	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
IRF5	IRF5	NM_001364314.2	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
IRF5	IRF5	NM_032643.4	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
ITSN1	ITSN1	NM_001001132.2	protein_coding	0	0	0	43	0	0	43	0	0	0	0	0
ITSN1	ITSN1	NM_001331008.2	protein_coding	0	0	0	43	0	0	43	0	0	0	0	0
ITSN1	ITSN1	NM_001331009.2	protein_coding	0	0	0	43	0	0	43	0	0	0	0	0
ITSN1	ITSN1	NM_001331010.2	protein_coding	0	2	0	82	1	0	81	0	0	0	2	0
ITSN1	ITSN1	NM_001331011.2	protein_coding	0	0	0	43	0	0	43	0	0	0	0	0
ITSN1	ITSN1	NM_001331012.2	protein_coding	0	0	0	43	0	0	43	0	0	0	0	0
ITSN1	ITSN1	NM_003024.3	protein_coding	0	2	0	82	1	0	81	0	0	0	2	0
MIR6501	MIR6501	NR_106756.1		0	0	0	6	0	5	0	0	0	0	0	1
MYH2	MYH2	NM_001100112.1	protein_coding	0	1	0	5	0	0	2	0	0	0	1	3
MYH2	MYH2	NM_017534.6	protein_coding	0	1	0	5	0	0	2	0	0	0	1	3
MYH3	MYH3	NM_002470.4	protein_coding	0	7	2	37	0	1	32	2	0	0	7	4
MYH4	MYH4	NM_017533.2	protein_coding	0	0	4	6	0	2	4	4	0	0	0	0
MYH8	MYH8	NM_002472.3	protein_coding	0	0	0	3	0	0	2	0	0	0	0	1
MYHAS	MYHAS	NR_125367.1		0	0	0	35	0	2	33	0	0	0	0	0
PCM1	PCM1	NM_001315507.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001315508.1	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352632.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352633.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352634.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352635.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352636.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352637.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352638.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352639.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352640.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352641.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352642.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352643.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352644.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352645.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352646.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352647.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352648.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352649.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352650.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352651.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352652.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352653.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352654.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352655.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352656.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352657.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352658.2	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NM_001352659.1	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
PCM1	PCM1	NM_001352660.1	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
PCM1	PCM1	NM_006197.4	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
PCM1	PCM1	NR_148032.2		0	0	0	2	0	0	0	0	2	0	0	0
PDCD6	PDCD6	NM_001267556.2	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PDCD6	PDCD6	NM_001267557.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PDCD6	PDCD6	NM_001267558.1	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PDCD6	PDCD6	NM_001267559.2	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
PDCD6	PDCD6	NM_013232.4	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0
